184
-1240.52 -529.098 7.51933,1,stand,,,
-1191.76 -344.915 6.60295,0 2 180,stand,,,
-1457.79 -256.051 8.125,1 3 124,stand,,,
-1404.77 202.677 8.125,2 124 181,stand,,,
-1327.99 730.39 8.125,6 115 181 182,stand,,,
-1881.06 789.8 8.125,182,stand,,,
-1285.47 862.204 8.125,4 7,stand,,,
-1500.52 856.432 144.125,6 183,stand,,,
-1387.51 1063.06 184.125,9 183,stand,,,
-1155 1079.68 184.125,8 10,stand,,,
-1142.29 1244.39 184.125,9 11,stand,,,
-1366.64 1271.73 184.125,10 12,stand,,,
-1378.48 1524.4 159.814,11 13 15,stand,,,
-982.999 1584.72 151.479,12 14 117 118,stand,,,
-1081.06 1878.52 224.79,13 15 17,stand,,,
-1448.72 1883.16 225.224,14 16 12,stand,,,
-1476 2135.29 259.081,15 17,stand,,,
-1049.5 2124.89 272.015,16 14 18,stand,,,
-884.091 2346.19 283.064,17 19 25,stand,,,
-928.166 2609.88 280.454,18 20,stand,,,
-972.976 2841.63 282.991,19,stand,,,
457.718 2772.79 290.291,22 48,stand,,,
404.131 2303.06 283.853,21 23 47,crouch,,,
357.561 2252.26 282.266,22 24,crouch,,,
-36.3888 2317.88 283.949,23 25,stand,,,
-298.846 2265.6 282.682,24 18 26,stand,,,
-304.549 2066.33 288.125,25 27 119,stand,,,
-90.6727 1977.92 240.673,26 28 34,stand,,,
-288.308 1907.56 238.951,27 29,stand,,,
-278.88 1452.92 152.481,28 30 31,stand,,,
-473.048 1435.17 160.125,29,stand,,,
-132.82 1471.87 152.885,29 32 68,stand,,,
244.621 1396.14 151.457,31 33 151,stand,,,
265.338 1578.47 158.592,32 34 37,stand,,,
256.137 1986.09 240.125,33 27 46,stand,,,
-15.2466 1793.32 312.125,36 148,stand,,,
128.721 1794.53 312.125,35 37,stand,,,
137.605 1595.53 176.125,36 33,stand,,,
664.176 1100.94 344.125,39 152,stand,,,
835.259 1112.91 344.125,38 147 158,stand,,,
909.311 737.683 190.049,41 49,stand,,,
1241.21 770.286 192.45,40 42 67 44,stand,,,
1710.02 782.053 192.112,41 43,stand,,,
1712.35 1152.94 189.854,42 44,stand,,,
1262.83 1228 187.45,43 41 153 155,stand,,,
974.33 1655.93 172.976,46 149 153 157,stand,,,
811.139 1874.35 168.125,45 47 34 149,stand,,,
819.511 2301.87 283.816,46 22 122,stand,,,
800.88 2825.17 294.23,21,stand,,,
851.26 470.567 168.125,40 161,stand,,,
631.106 276.481 160.125,65 161 162,stand,,,
531.762 -269.662 8.125,52 163,stand,,,
188.18 -260.719 5.71641,51 53 73 74 90,stand,,,
164.838 -589.757 16.5713,52 54 100,stand,,,
177.083 -768.073 4.125,53 105 172,stand,,,
538.155 -759.45 143.884,56 104 173,stand,,,
596.695 -1054.4 142.288,55 57,stand,,,
882.719 -1042.71 192.125,56 58 60 123,stand,,,
1227.85 -1125.7 192.125,57 59,stand,,,
1259.01 -705.821 196.89,58 60,stand,,,
1041.73 -666.147 186.125,59 57 64 123 175,stand,,,
628.626 -658.399 312.125,62 146 174,stand,,,
135.362 -605.006 312.125,61 63,stand,,,
-321.679 -535.071 304.125,62 143,stand,,,
1138.84 -219.046 186.125,60 65 66,stand,,,
775.013 -146.705 160.125,64 50,stand,,,
1163.3 129.99 186.125,64 67 159,stand,,,
1226.71 575.762 186.125,66 41,stand,,,
